p,N,NOQ,INQ,CIOQ-0.4-0.4,CIOQ-0.4-0.7,CIOQ-0.4-1.0,CIOQ-0.7-0.4,CIOQ-0.7-0.7,CIOQ-0.7-1.0,CIOQ-1.0-0.4,CIOQ-1.0-0.7,CIOQ-1.0-1.0
0.4,8,0.337325,0.401813,0.401825,0.401825,0.401825,0.401825,0.401825,0.401825,0.401825,0.401825,0.401825
0.6,8,0.463325,0.560163,0.602425,0.602425,0.602425,0.602425,0.602425,0.602425,0.602425,0.602425,0.602425
0.8,8,0.568875,0.606038,0.799188,0.799188,0.799188,0.7992,0.7992,0.7992,0.7992,0.7992,0.7992
1.0,8,0.65585,0.619675,0.9999,0.9999,0.9999,0.999975,0.999975,0.999975,1.0,1.0,1.0
0.4,16,0.33215,0.400956,0.401012,0.401012,0.401012,0.401012,0.401012,0.401012,0.401012,0.401012,0.401012
0.6,16,0.458125,0.549775,0.601244,0.601244,0.601244,0.601244,0.601244,0.601244,0.601244,0.601244,0.601244
0.8,16,0.559362,0.5905,0.799256,0.799256,0.799256,0.799256,0.799256,0.799256,0.799256,0.799256,0.799256
1.0,16,0.643431,0.6012,0.999969,0.999969,0.999969,1.0,1.0,1.0,1.0,1.0,1.0
0.4,24,0.331458,0.400404,0.400421,0.400421,0.400421,0.400421,0.400421,0.400421,0.400421,0.400421,0.400421
0.6,24,0.455479,0.546921,0.6009,0.6009,0.6009,0.6009,0.6009,0.6009,0.6009,0.6009,0.6009
0.8,24,0.556271,0.587971,0.799004,0.799004,0.799004,0.799004,0.799004,0.799004,0.799004,0.799004,0.799004
1.0,24,0.639658,0.596021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,32,0.33175,0.400341,0.400359,0.400359,0.400359,0.400359,0.400359,0.400359,0.400359,0.400359,0.400359
0.6,32,0.456112,0.545572,0.601009,0.601009,0.601009,0.601009,0.601009,0.601009,0.601009,0.601009,0.601009
0.8,32,0.555066,0.582375,0.799456,0.799456,0.799456,0.799456,0.799456,0.799456,0.799456,0.799456,0.799456
1.0,32,0.637947,0.593125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,48,0.331821,0.400683,0.400719,0.400719,0.400719,0.400719,0.400719,0.400719,0.400719,0.400719,0.400719
0.6,48,0.453715,0.544581,0.60126,0.60126,0.60126,0.60126,0.60126,0.60126,0.60126,0.60126,0.60126
0.8,48,0.554317,0.581902,0.799883,0.799883,0.799883,0.799883,0.799883,0.799883,0.799883,0.799883,0.799883
1.0,48,0.636167,0.592002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,64,0.330856,0.401097,0.401136,0.401136,0.401136,0.401136,0.401136,0.401136,0.401136,0.401136,0.401136
0.6,64,0.45345,0.543444,0.600939,0.600939,0.600939,0.600939,0.600939,0.600939,0.600939,0.600939,0.600939
0.8,64,0.552483,0.581091,0.799992,0.799992,0.799992,0.799992,0.799992,0.799992,0.799992,0.799992,0.799992
1.0,64,0.634589,0.588936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
